"English Term","Arabic Term","Arabic Definition"
"Federalism","الفيدرالية","هي أهم صور الكيانات الدولية الناجحة حتى الآن، وهي تعني اتحاد وحدات أو ولايات مستقلة تحت سلطة سياسية واحدة في السياسة الخارجية والدفاع، على أن تبقي باقي السلطات في أيدي الولايات والتي تتمتع بالحكم الذاتي، وينظر إلى الهيكل الاتحادي Federal Structure بأنه يسهم مساهمة كبيرة في الدفاع عن الحرية وحمايتها من ظهور الاستبداد المركزي Central Tyranny ، وأهم النماذج الفيدرالية التي نشاهدها في عالم اليوم الولايات المتحدة ونيجيريا."
"Feed Back Process","التغذية الإسترجاعية","وهي تشير إلى تدفق المعلومات من ال بيئة إلى النظام السياسي عن نتائج أفعاله، أي آثار قراراته وسياساته عند الشعب."
"FifthColumn","الطابور الخامس","مصطلح يرمز إلى مجموعة الجواسيس والخونة من المواطنين والذين يتعاونون مع جيش الاحتلال ضد الوطن وضد جيوش التحرير، ثم صار مصطلحا ً يطلق على سائر الخونة الذين يتعاونون مع المحتلين أو يتجسسون لمصلحة دولة أجنبية."
"Fjord","شرم","يسمى فيورد، وهو عبارة عن خليج صغير طويل ضيق على ساحل البحر أو المحيط جوانبه شديدة الإنحدار."
"Fjord","فيورد / أنظر شرم","   ح رف القاف"
"Flash Back","النكوص إ لى الماضي","هي حالة نفسية تعود بالإنسان إلى الرجوع لحالة الطفولة لاشعوريا ً والقيام بتصرفات طفولية، وهذا يتم في حالة شعور الفرد بعدم الأمان، ويشعر بهذه الحالة أكثر الأفراد الرهائن الذين يقعون في يد الجماعات الإرهابية نتيجة حاجة هؤلاء لعون أسرهم لعقد صفقة لفك احتجازهم فيصابون بحالة نكوص إلى ما يشبه الحالة الطفولية Traumatic Psychological Infantilism أي أنهم أصبحوا يشعرون بالاعتماد على إناس آخرين مثلما يشعر الطفل بالحاجة لأمه، فيضطر بعضهم للتشبه بأسلوب الأطفال ويزداد طواعية وخضوعا وتقربا لمحتجزيه."
"Folksgeist","روح الشعب","مفهوم يبرز من خلال الطابع القومي للشخصية القومية التي تركز على ما يجمع الشعب في إطار الارتباط بالتراث والفلكور والتقاليد والمشاعر السياسية واللغة باعتبارها الوسائل الرئيسية للتعبير عن هذه الروح.    حرف الزين"
"Food And Agriculture Organization (FAO)","منظمة الأغذية والزراعة","منظمة الأغذية والزراعة منظمة متخصصة تا بعة للأمم المتحدة ومقرها الرئيسي في روما..."
"Formal & Symbolic","رسمي ورمزي","وهو نوع من أنواع المشاركة السياسية كما يحدث في انتخابات مجالس السوفيت Sovits في الإتحاد السو فيتي، فالمشاركة هنا تكون شكلية لأصحاب الثقة والكوادر الشيوعية."
"Formal And Institutional","المستوى الرسمي والمؤسسي","هو مستوى من التعامل في العلاقات الدولية يتم بين الدول أو منظماتها الرسمية في إطار التعاون المشترك والاتفاقيات الثنائية، عكس التعامل في المستوى غير الرسمى Informal الذي يتم بين المؤسسات غير الحكومية والمنظمات الأهلية وغيرها دون وجود حكومي."
"Fourteen Points","النقاط الأربعة عشرة","هي النقاط أو الأسس التي أعلنها الرئيس الأمريكي ويلسون عام ١٩١٦ م لتحقيق المصالح الأمريكية، وتضمنت ضرورة الإقلاع عن الدبلوماسية السرية واستبدالها بدبلوماسية مفتوحة وإزالة جميع الحواجز الاقتصادية بين الأمم وإقا مة تنظيم دولي لضمان الاستقلال السياسي والسلامة الأقليمية لجميع الدول وحق تقرير المصير، وغيرها من المباديء."
"Free Market","السوق الحرة","هي السوق المفتوحة في إطار الديمقراطية الليبراليةس ياسيا ً واقتصاد السوق اقتصاديا في الدول الرأسمالية، ويعزو الكثير من المفكرين الرفاهية إلى تطور هذه السوق الحرة، وهي التي يتم فيها البيع والشراء دون أي قيود بالنسبةل لسعر أو المنتج."
"Free Trade Unions","اتحادات عمال حرة","وهي اتحادات للعمال في الدول الشيوعية ظهرت من أجل الدعوة لمزيد من الحريات والحصول على حقوق أكثر للعمال من الأجور وتحسين أوضاع العمل، وقوبلت هذه الاتحادات بإجراءات تعسفية من قبل الحكومات الاشتراكية."
"Free Tribune","منبر حر","هو قسم في الصحف والمجلات الدورية يخصص للمقالات التي تنشر على م سئولية كاتبها دون مسئولية الجريدة."
"Freedom Of Expression","حرية التعبير","وهي أحد الحقوق الهامة في النظام الدولي المعاصر، وتعني حق الفرد في التعبير عن آرائه ومعتقداته دون تدخل وبحرية عبر كافة وسائل الإعلام، ويشمل هذا الحق حرية البحث عن المعلومات والأ فكار من أي نوع ونقلها بغض النظر عن الحدود، وذلك شفاهة أم كتابة أم طباعة، وسواء كان ذلك في قالب فنى أو بأية وسيلة أخرى يختارها، بشرط ألا يمس الآخرين وفي حدود القانون من أجل الصالح العام."
